Category,Title,Price
viandes,Chicken Ham 125g,"€5,43 EUR"
viandes,Ground Porc/Beef +/- 500gr,"€10,33 EUR"
viandes,Cooked Ham +/- 250gr,"€7,82 EUR"
viandes,Tofu 250gr,"€2,37 EUR"
viandes,Chicken Breast +/- 320gr,"€10,98 EUR"
viandes,Salmon Filet 150g,"€7,41 EUR"
viandes,Falafel 200gr,"€4,62 EUR"
viandes,Sausage small +/- 350gr,"€7,85 EUR"
viandes,Bacon Strips +/- 250gr,"€6,11 EUR"
viandes,Ground Chicken +/- 415gr,"€8,33 EUR"
viandes,Dry Sausage +/- 45g,"€1,20 EUR"
viandes,Smoked Salmon 125g,"€9,02 EUR"
viandes,Chicken Leg +/- 450gr,"€7,23 EUR"
viandes,Chicken Burger +/- 256gr,"€5,75 EUR"
viandes,Smoked Mackerel 150g,"€5,41 EUR"
viandes,Chicken Sausage +/- 350gr,"€8,04 EUR"
viandes,Ground Beef +/- 500gr,"€9,56 EUR"
viandes,Seitan 250gr,"€3,34 EUR"
viandes,White Sausage/Pudding +/- 300gr,"€6,20 EUR"
viandes,Whole Chicken +/- 1560gr,"€20,36 EUR"
viandes,Country Sausage +/- 280gr,"€5,60 EUR"
viandes,Ribeye Steak +/- 250gr,"€10,42 EUR"
viandes,Pea Burger 180gr,"€5,19 EUR"
viandes,Coppa +/- 120gr,"€4,65 EUR"
viandes,Winter Burger 180gr,"€5,19 EUR"
viandes,Steak +/- 250gr,"€8,98 EUR"
viandes,Smoked Dry Sausage +/- 45g,"€1,30 EUR"
viandes,Cod Fillet 160g,"€7,31 EUR"
viandes,Chorizo +/- 120gr,"€5,05 EUR"
viandes,Saucisson +/- 150g,"€5,05 EUR"
viandes,Black Sausage/Pudding +/- 300gr,"€5,17 EUR"
viandes,Smoked Ham +/- 120gr,"€4,65 EUR"
viandes,Breakfast Bacon +/- 250gr,"€7,06 EUR"
viandes,Merguez +/- 300gr,"€8,47 EUR"
viandes,Salami +/- 120gr,"€3,51 EUR"
viandes,Chicken Drumstick +/- 600gr,"€7,48 EUR"
viandes,Spring Burger 180gr,"€5,19 EUR"
fruits,Grape Tomato +/- 500gr,"€1,91 EUR"
fruits,Kiwi Green +/- 250gr,"€1,85 EUR"
fruits,Grapefruit / pièce (+/-350gr),"€0,97 EUR"
fruits,Juice Oranges +/- 1000gr,"€2,32 EUR"
fruits,Banana / 5 pièces (+/-750gr),"€1,74 EUR"
fruits,Apple Jonagold +/- 1000gr,"€2,84 EUR"
fruits,Lemon +/- 500gr,"€1,39 EUR"
fruits,Mini San Marzano Tomato +/- 250gr,"€1,99 EUR"
fruits,Conférence Pear +/- 1000gr,"€4,72 EUR"
fruits,Apple Natyra +/- 1000gr,"€3,58 EUR"
fruits,Blood Oranges +/- 1000gr,"€2,64 EUR"
fruits,Kiwi Yellow +/- 250gr,"€1,76 EUR"
fruits,Table Oranges +/- 1000gr,"€2,76 EUR"
fruits,Myrtilles 125g,"€3,22 EUR"
fruits,Tomate Cerise Grappe +/- 250gr,"€1,37 EUR"
fruits,Fresh Dates +/- 250gr,"€4,13 EUR"
fruits,Apple Nicogreen +/- 1000gr,"€3,08 EUR"
fruits,Bergamot Lemon +/- 500gr,"€2,36 EUR"
fruits,Kumquats +/- 250gr,"€2,05 EUR"
fruits,Walnuts in Shell +/- 500gr,"€3,94 EUR"
cremerie-1,Egg 6 pièces,"€2,76 EUR"
cremerie-1,Mozzarella 100g,"€1,53 EUR"
cremerie-1,Mozza Di Bufala 125g,"€3,04 EUR"
cremerie-1,Gouda Jong +/- 200gr,"€3,15 EUR"
cremerie-1,Parmesan +/- 200gr,"€6,31 EUR"
cremerie-1,Emmental +/- 200gr,"€3,97 EUR"
cremerie-1,Ripened Goat Cheese Log 100g,"€3,24 EUR"
cremerie-1,Fresh Sheep Cheese 80g,"€4,58 EUR"
cremerie-1,Fresh Goat Cheese Plain 145g,"€3,07 EUR"
cremerie-1,Goat yogurt 350gr,"€2,88 EUR"
cremerie-1,Tomme du Doyard +/- 200gr,"€6,71 EUR"
cremerie-1,Gouda Scheep +/- 200gr,"€6,14 EUR"
cremerie-1,Brie Cow +/- 150gr,"€3,61 EUR"
cremerie-1,Bioferme Plain +/- 200gr,"€4,78 EUR"
cremerie-1,Feta cheese 200g,"€4,28 EUR"
cremerie-1,Gouda Goat Jong +/- 200gr,"€6,58 EUR"
cremerie-1,Raw Unsalted Butter 250g,"€6,48 EUR"
cremerie-1,Salted Butter 250g,"€3,82 EUR"
cremerie-1,Raw Butter 250g,"€6,48 EUR"
cremerie-1,Plain Yogurt 500gr +Drain,"€2,55 EUR"
cremerie-1,Butter 250g,"€3,82 EUR"
cremerie-1,Fresh Cream 25cl,"€3,40 EUR"
cremerie-1,Halloumi 200g,"€4,74 EUR"
cremerie-1,Vieux Liège +/- 200gr,"€6,98 EUR"
cremerie-1,Merlijn Mediteranean +/- 150gr,"€5,78 EUR"
cremerie-1,Brie Sheep +/- 150gr,"€6,13 EUR"
cremerie-1,Ricotta 250gr,"€3,11 EUR"
cremerie-1,Light Yogurt 500gr +Drain,"€2,32 EUR"
cremerie-1,Stracciatella Yogurt 500gr +Drain,"€3,37 EUR"
